Month, Avg. Players, Gain, % Gain, Peak Players, Game Name, Paradox?
March 2024, 1905.0, -91.1, -4.56, 2966, Crusader Kings II, Yes
February 2024, 1996.2, +8.1, +0.41, 3203, Crusader Kings II, Yes
January 2024, 1988.1, +34.2, +1.75, 3198, Crusader Kings II, Yes
December 2023, 1953.9, +2.4, +0.12, 3037, Crusader Kings II, Yes
November 2023, 1951.5, +30.2, +1.57, 3204, Crusader Kings II, Yes
October 2023, 1921.3, +88.7, +4.84, 3151, Crusader Kings II, Yes
September 2023, 1832.6, -153.6, -7.73, 2934, Crusader Kings II, Yes
August 2023, 1986.1, -111.9, -5.33, 3054, Crusader Kings II, Yes
July 2023, 2098.0, -79.0, -3.63, 3211, Crusader Kings II, Yes
June 2023, 2177.0, -72.6, -3.23, 3385, Crusader Kings II, Yes
May 2023, 2249.5, -58.1, -2.52, 3565, Crusader Kings II, Yes
April 2023, 2307.6, +67.6, +3.02, 3627, Crusader Kings II, Yes
March 2023, 2240.1, -63.3, -2.75, 3712, Crusader Kings II, Yes
February 2023, 2303.3, -57.5, -2.44, 3647, Crusader Kings II, Yes
January 2023, 2360.9, -134.0, -5.37, 3727, Crusader Kings II, Yes
December 2022, 2494.9, -171.9, -6.45, 3787, Crusader Kings II, Yes
November 2022, 2666.8, -414.9, -13.46, 4598, Crusader Kings II, Yes
October 2022, 3081.7, -162.5, -5.01, 4965, Crusader Kings II, Yes
September 2022, 3244.2, +545.0, +20.19, 5369, Crusader Kings II, Yes
August 2022, 2699.2, +143.2, +5.60, 4455, Crusader Kings II, Yes
July 2022, 2556.1, +84.2, +3.40, 3885, Crusader Kings II, Yes
June 2022, 2471.9, -83.8, -3.28, 3895, Crusader Kings II, Yes
May 2022, 2555.7, -89.6, -3.39, 4060, Crusader Kings II, Yes
April 2022, 2645.3, +44.1, +1.70, 4230, Crusader Kings II, Yes
March 2022, 2601.2, -263.6, -9.20, 4254, Crusader Kings II, Yes
February 2022, 2864.8, -178.5, -5.87, 4629, Crusader Kings II, Yes
January 2022, 3043.3, +148.5, +5.13, 4698, Crusader Kings II, Yes
December 2021, 2894.8, -26.7, -0.91, 4417, Crusader Kings II, Yes
November 2021, 2921.6, +43.5, +1.51, 4788, Crusader Kings II, Yes
October 2021, 2878.1, +43.3, +1.53, 4618, Crusader Kings II, Yes
September 2021, 2834.8, -271.6, -8.74, 4473, Crusader Kings II, Yes
August 2021, 3106.3, +85.6, +2.83, 4731, Crusader Kings II, Yes
July 2021, 3020.7, -94.2, -3.02, 4550, Crusader Kings II, Yes
June 2021, 3114.9, -186.2, -5.64, 4795, Crusader Kings II, Yes
May 2021, 3301.1, +15.8, +0.48, 5242, Crusader Kings II, Yes
April 2021, 3285.3, -83.5, -2.48, 5280, Crusader Kings II, Yes
March 2021, 3368.8, +21.0, +0.63, 5468, Crusader Kings II, Yes
February 2021, 3347.8, -24.7, -0.73, 5272, Crusader Kings II, Yes
January 2021, 3372.5, +29.1, +0.87, 5385, Crusader Kings II, Yes
December 2020, 3343.4, -196.3, -5.55, 5368, Crusader Kings II, Yes
November 2020, 3539.8, -473.7, -11.80, 5663, Crusader Kings II, Yes
October 2020, 4013.4, -2060.2, -33.92, 7137, Crusader Kings II, Yes
September 2020, 6073.6, -1507.3, -19.88, 10915, Crusader Kings II, Yes
August 2020, 7581.0, +947.5, +14.28, 13604, Crusader Kings II, Yes
July 2020, 6633.5, -310.4, -4.47, 9962, Crusader Kings II, Yes
June 2020, 6944.0, -1953.1, -21.95, 11677, Crusader Kings II, Yes
May 2020, 8897.1, +678.0, +8.25, 15528, Crusader Kings II, Yes
April 2020, 8219.0, +420.0, +5.39, 13021, Crusader Kings II, Yes
March 2020, 7799.0, +631.5, +8.81, 13604, Crusader Kings II, Yes
February 2020, 7167.5, -26.9, -0.37, 12105, Crusader Kings II, Yes
January 2020, 7194.4, +285.5, +4.13, 12468, Crusader Kings II, Yes
December 2019, 6908.9, -1307.6, -15.91, 11889, Crusader Kings II, Yes
November 2019, 8216.4, +885.7, +12.08, 15391, Crusader Kings II, Yes
October 2019, 7330.8, +1788.8, +32.28, 18227, Crusader Kings II, Yes
September 2019, 5541.9, -883.6, -13.75, 9619, Crusader Kings II, Yes
August 2019, 6425.5, +742.2, +13.06, 10967, Crusader Kings II, Yes
July 2019, 5683.4, -602.8, -9.59, 9529, Crusader Kings II, Yes
June 2019, 6286.1, -911.2, -12.66, 10689, Crusader Kings II, Yes
May 2019, 7197.3, -425.8, -5.59, 12310, Crusader Kings II, Yes
April 2019, 7623.1, +1976.8, +35.01, 13531, Crusader Kings II, Yes
March 2019, 5646.3, -546.0, -8.82, 9735, Crusader Kings II, Yes
February 2019, 6192.2, -586.6, -8.65, 10689, Crusader Kings II, Yes
January 2019, 6778.9, -633.2, -8.54, 12054, Crusader Kings II, Yes
December 2018, 7412.0, -542.2, -6.82, 14146, Crusader Kings II, Yes
November 2018, 7954.2, +3626.1, +83.78, 20429, Crusader Kings II, Yes
October 2018, 4328.2, -827.1, -16.04, 7828, Crusader Kings II, Yes
September 2018, 5155.3, +139.8, +2.79, 9627, Crusader Kings II, Yes
August 2018, 5015.5, -427.5, -7.85, 8480, Crusader Kings II, Yes
July 2018, 5443.0, +465.3, +9.35, 9006, Crusader Kings II, Yes
June 2018, 4977.7, -643.3, -11.44, 8600, Crusader Kings II, Yes
May 2018, 5620.9, -4467.8, -44.28, 10316, Crusader Kings II, Yes
April 2018, 10088.8, +6178.7, +158.02, 140269, Crusader Kings II, Yes
March 2018, 3910.0, -538.8, -12.11, 6961, Crusader Kings II, Yes
February 2018, 4448.8, -396.6, -8.19, 7967, Crusader Kings II, Yes
January 2018, 4845.5, -372.0, -7.13, 9088, Crusader Kings II, Yes
December 2017, 5217.5, +919.7, +21.40, 8885, Crusader Kings II, Yes
November 2017, 4297.8, +670.4, +18.48, 9187, Crusader Kings II, Yes
October 2017, 3627.5, -807.0, -18.20, 6799, Crusader Kings II, Yes
September 2017, 4434.5, -319.4, -6.72, 8570, Crusader Kings II, Yes
August 2017, 4753.9, +591.4, +14.21, 8023, Crusader Kings II, Yes
July 2017, 4162.5, +341.0, +8.92, 7243, Crusader Kings II, Yes
June 2017, 3821.4, -271.5, -6.63, 6756, Crusader Kings II, Yes
May 2017, 4092.9, -41.1, -0.99, 7311, Crusader Kings II, Yes
April 2017, 4134.1, -1077.5, -20.68, 7736, Crusader Kings II, Yes
March 2017, 5211.6, +1309.3, +33.55, 11920, Crusader Kings II, Yes
February 2017, 3902.3, -321.4, -7.61, 7173, Crusader Kings II, Yes
January 2017, 4223.7, +352.0, +9.09, 7820, Crusader Kings II, Yes
December 2016, 3871.7, +421.6, +12.22, 7099, Crusader Kings II, Yes
November 2016, 3450.0, -151.5, -4.21, 6275, Crusader Kings II, Yes
October 2016, 3601.6, -1101.1, -23.41, 6719, Crusader Kings II, Yes
September 2016, 4702.6, +892.0, +23.41, 10106, Crusader Kings II, Yes
August 2016, 3810.6, +172.8, +4.75, 10540, Crusader Kings II, Yes
July 2016, 3637.8, +480.7, +15.23, 6440, Crusader Kings II, Yes
June 2016, 3157.1, -65.6, -2.04, 5934, Crusader Kings II, Yes
May 2016, 3222.7, -340.2, -9.55, 6222, Crusader Kings II, Yes
April 2016, 3562.9, -178.4, -4.77, 6477, Crusader Kings II, Yes
March 2016, 3741.3, -888.2, -19.19, 6655, Crusader Kings II, Yes
February 2016, 4629.5, +772.3, +20.02, 9104, Crusader Kings II, Yes
January 2016, 3857.3, +240.4, +6.65, 6733, Crusader Kings II, Yes
December 2015, 3616.8, +202.7, +5.94, 6460, Crusader Kings II, Yes
November 2015, 3414.1, -491.5, -12.58, 6403, Crusader Kings II, Yes
October 2015, 3905.6, +634.0, +19.38, 8491, Crusader Kings II, Yes
September 2015, 3271.5, -398.7, -10.86, 6090, Crusader Kings II, Yes
August 2015, 3670.2, -676.7, -15.57, 6385, Crusader Kings II, Yes
July 2015, 4346.9, +449.8, +11.54, 8595, Crusader Kings II, Yes
June 2015, 3897.1, +248.8, +6.82, 7266, Crusader Kings II, Yes
May 2015, 3648.2, +273.7, +8.11, 6411, Crusader Kings II, Yes
April 2015, 3374.5, -174.4, -4.91, 5938, Crusader Kings II, Yes
March 2015, 3548.9, -1113.7, -23.89, 7310, Crusader Kings II, Yes
February 2015, 4662.6, +505.4, +12.16, 11884, Crusader Kings II, Yes
January 2015, 4157.1, -33.4, -0.80, 7942, Crusader Kings II, Yes
December 2014, 4190.6, +1093.1, +35.29, 8882, Crusader Kings II, Yes
November 2014, 3097.5, -1383.5, -30.87, 6280, Crusader Kings II, Yes
